Player_ID_Full,Role
Jaïro Riedewald_NED_MF_Crystal Palace_Premier League_23_2020-2021,Defensive Midfielder
Jake Livermore_ENG_MF_West Brom_Premier League_30_2020-2021,Defensive Midfielder
Jakub Moder_POL_DFMF_Brighton_Premier League_21_2020-2021,Centre Midfielder
Jamaal Lascelles_ENG_DF_Newcastle Utd_Premier League_26_2020-2021,Centreback
Jamal Lewis_NIR_DF_Newcastle Utd_Premier League_22_2020-2021,Fullback
James Justin_ENG_DF_Leicester City_Premier League_22_2020-2021,Fullback
James Maddison_ENG_MFFW_Leicester City_Premier League_23_2020-2021,Attacking Midfielder
James McArthur_SCO_MF_Crystal Palace_Premier League_32_2020-2021,Centre Midfielder
James McCarthy_IRL_MF_Crystal Palace_Premier League_29_2020-2021,Centre Midfielder
James Milner_ENG_MFDF_Liverpool_Premier League_34_2020-2021,Centre Midfielder
James Rodríguez_COL_FWMF_Everton_Premier League_29_2020-2021,Attacking Midfielder
James Tarkowski_ENG_DF_Burnley_Premier League_27_2020-2021,Centreback
James Tomkins_ENG_DF_Crystal Palace_Premier League_31_2020-2021,Centreback
James Ward-Prowse_ENG_MF_Southampton_Premier League_25_2020-2021,Centre Midfielder
Jamie Shackleton_ENG_MFDF_Leeds United_Premier League_20_2020-2021,Centre Midfielder
Jamie Vardy_ENG_FW_Leicester City_Premier League_33_2020-2021,Striker
Jan Bednarek_POL_DF_Southampton_Premier League_24_2020-2021,Centreback
Jannik Vestergaard_DEN_DF_Southampton_Premier League_27_2020-2021,Centreback
Japhet Tanganga_ENG_DF_Tottenham_Premier League_21_2020-2021,Centreback
Jarrod Bowen_ENG_FWMF_West Ham_Premier League_23_2020-2021,Winger
Javier Manquillo_ESP_DF_Newcastle Utd_Premier League_26_2020-2021,Fullback
Jay Rodriguez_ENG_FWMF_Burnley_Premier League_31_2020-2021,Striker
Jayden Bogle_ENG_DF_Sheffield Utd_Premier League_20_2020-2021,Fullback
Jeff Hendrick_IRL_MF_Newcastle Utd_Premier League_28_2020-2021,Centre Midfielder
Jeffrey Schlupp_GHA_MF_Crystal Palace_Premier League_27_2020-2021,Defensive Winger
Jesse Lingard_ENG_MFFW_West Ham_Premier League_27_2020-2021,Attacking Midfielder
Joachim Andersen_DEN_DF_Fulham_Premier League_24_2020-2021,Centreback
João Cancelo_POR_DF_Manchester City_Premier League_26_2020-2021,Fullback
João Moutinho_POR_MF_Wolves_Premier League_33_2020-2021,Centre Midfielder
Joe Bryan_ENG_DFFW_Fulham_Premier League_26_2020-2021,Fullback
Joe Gomez_ENG_DF_Liverpool_Premier League_23_2020-2021,Centreback
Joe Rodon_WAL_DF_Tottenham_Premier League_22_2020-2021,Centreback
Joe Willock_ENG_MF_Newcastle Utd_Premier League_20_2020-2021,Centre Midfielder
Joël Matip_CMR_DF_Liverpool_Premier League_28_2020-2021,Centreback
Joël Veltman_NED_DF_Brighton_Premier League_28_2020-2021,Fullback
Joel Ward_ENG_DF_Crystal Palace_Premier League_30_2020-2021,Fullback
Joelinton_BRA_FWMF_Newcastle Utd_Premier League_23_2020-2021,Striker
Jóhann Berg Guðmundsson_ISL_MF_Burnley_Premier League_29_2020-2021,Winger
John Egan_IRL_DF_Sheffield Utd_Premier League_27_2020-2021,Centreback
John Fleck_SCO_MF_Sheffield Utd_Premier League_28_2020-2021,Centre Midfielder
John Lundstram_ENG_MF_Sheffield Utd_Premier League_26_2020-2021,Centre Midfielder
John McGinn_SCO_MF_Aston Villa_Premier League_25_2020-2021,Centre Midfielder
John Stones_ENG_DF_Manchester City_Premier League_26_2020-2021,Centreback
